iter	RMSE
271	3.55138602
272	3.550749366
273	3.550070768
274	3.549406531
275	3.548824387
276	3.548246767
277	3.547680176
278	3.546982658
279	3.546504911
280	3.546030237
281	3.545420412
282	3.544774012
283	3.544138112
284	3.543608647
285	3.542852559
286	3.542325001
287	3.541487085
288	3.541032627
289	3.540346081
290	3.539752137
291	3.53913731
292	3.538523235
293	3.537803269
294	3.537328052
295	3.536702237
296	3.536071129
297	3.535659822
298	3.535187095
299	3.534674472
300	3.534196644
301	3.533671689
302	3.533143737
303	3.532574872
304	3.532119394
305	3.531496049
306	3.530874313
307	3.530573176
308	3.530115456
309	3.529570335
310	3.529034357
311	3.528614642
312	3.527696306
313	3.527325371
314	3.526855308
315	3.526418057
316	3.525848046
317	3.525305058
318	3.524820489
319	3.524317461
320	3.523568322
321	3.523199936
322	3.522724929
323	3.522181201
324	3.521672148
325	3.521368454
326	3.520908559
327	3.520358225
328	3.519723042
329	3.519227599
330	3.518921564
331	3.518380435
332	3.517964129
333	3.517388563
334	3.516972501
335	3.516469973
336	3.516230354
337	3.516004007
338	3.515517396
339	3.515060063
340	3.514472219
341	3.514009637
342	3.513471514
343	3.512884743
344	3.512450573
345	3.511977997
346	3.51148293
347	3.511087063
348	3.510692669
349	3.51029796
350	3.509783257
351	3.509423427
352	3.508813325
353	3.508220104
354	3.507751717
355	3.507323036
356	3.506860754
357	3.506293417
358	3.505868322
359	3.505489275
360	3.505117607
361	3.5047554
362	3.504283153
363	3.503827758
364	3.503449827
365	3.503027084
366	3.502561701
367	3.502159072
368	3.501797855
369	3.501386585
370	3.500832841
371	3.50044817
372	3.500076497
373	3.499645177
374	3.499289711
375	3.498987153
376	3.498503616
377	3.497979412
378	3.497579096
379	3.497020573
380	3.496612872
381	3.496434876
382	3.496030906
383	3.495702166
384	3.495340514
385	3.494897964
386	3.494417001
387	3.493689046
388	3.493323501
389	3.492933151
390	3.492577134
391	3.492379195
392	3.491997722
393	3.491572884
394	3.491212249
395	3.490783701
396	3.490422358
397	3.490138167
398	3.489815409
399	3.489481676
400	3.489013887
401	3.488377864
402	3.488197458
403	3.487680436
404	3.487384959
405	3.487000653
406	3.486296294
407	3.485919961
408	3.485678501
409	3.4852747
410	3.484924152
411	3.484770377
412	3.484401279
413	3.484113556
414	3.483581418
415	3.483254675
416	3.482923778
417	3.482380549
418	3.481986759
419	3.481597257
420	3.481171706
421	3.480866175
422	3.480570133
423	3.480243
424	3.479910365
425	3.479577663
426	3.479423952
427	3.478965746
428	3.478727609
429	3.478270796
430	3.477865259
431	3.477334557
432	3.476808067
433	3.476516523
434	3.476024468
435	3.475710471
436	3.475202291
437	3.474649103
438	3.474279069
439	3.473942668
440	3.473637916
441	3.47338417
442	3.473011435
443	3.472757607
444	3.472378802
445	3.471903049
446	3.471596062
447	3.471241568
448	3.470852794
449	3.470588313
450	3.470444288
451	3.470086033
452	3.469946266
453	3.469688174
454	3.469281823
455	3.468935224
456	3.468703971
457	3.468568181
458	3.468134097
459	3.467907303
460	3.46750543
461	3.467091409
462	3.466732362
463	3.466442038
464	3.466214725
465	3.465990054
466	3.465716381
467	3.465150735
468	3.464684332
469	3.464435884
470	3.464098684
471	3.463737836
472	3.463421388
473	3.463080196
474	3.462859586
475	3.462630146
476	3.462346941
477	3.461990597
478	3.461767159
479	3.461548961
480	3.461207032
481	3.460930242
482	3.460597202
483	3.460182156
484	3.459915847
485	3.459801004
486	3.459513024
487	3.459156827
488	3.458855676
489	3.458622698
490	3.458281608
491	3.457873441
492	3.457446023
493	3.45701216
494	3.456839367
495	3.456471851
496	3.456294853
497	3.456018258
498	3.455796243
499	3.455506625
